Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Poblado;2024;sep;290481073;124967887;165513186;76199090;8;1132;1120;Media
Zonas Secundarias;Medellin Poblado;2024;oct;285710797;108386095;177324702;83600381;8;1150;1120;Media
Zonas Secundarias;Medellin Poblado;2024;nov;242112614;92635243;149477371;30758377;9;945;1120;Baja
Zonas Secundarias;Medellin Poblado;2024;dic;314916837;121127182;193789655;85019231;9;1208;1120;Media
Zonas Secundarias;Vegas;2021;ene;232330017;90615249;141714768;48520502;13;1273;1670;Baja
Zonas Secundarias;Vegas;2021;feb;258782619;116717510;142065109;26056316;13;1363;1670;Baja
Zonas Secundarias;Vegas;2021;mar;285986059;132689456;153296603;44832139;14;1580;1830;Baja
Zonas Secundarias;Vegas;2021;abr;156771271;99142566;57628705;-53513333;13;878;1580;Perdida
Zonas Secundarias;Vegas;2021;may;183399557;99357847;84041710;-24641846;11;1044;1580;Perdida
Zonas Secundarias;Vegas;2021;jun;221878669;105989914;115888755;-3399420;10;1273;1580;Perdida
Zonas Secundarias;Vegas;2021;jul;265649326;127298136;138351190;22858221;14;1460;1740;Baja
Zonas Secundarias;Vegas;2021;ago;277548103;128198353;149349750;44537586;14;1597;1740;Baja
Zonas Secundarias;Vegas;2021;sep;282744439;135910641;146833798;-3081575;16;1603;2060;Perdida
Zonas Secundarias;Vegas;2021;oct;281262190;144383312;136878878;22105285;16;1519;2060;Baja
Zonas Secundarias;Vegas;2021;nov;273408637;136788096;136620541;19105484;16;1443;2060;Baja
Zonas Secundarias;Vegas;2021;dic;313520487;138067171;175453316;35436674;14;1717;1830;Baja
Zonas Secundarias;Vegas;2022;ene;284493706;123315708;161177998;34258086;11;1487;1830;Baja
Zonas Secundarias;Vegas;2022;feb;263123381;118168030;144955351;17154891;13;1451;2150;Baja
Zonas Secundarias;Vegas;2022;mar;303944813;137019646;166925167;72098597;13;1524;2150;Media
Zonas Secundarias;Vegas;2022;abr;297298827;129427420;167871407;58889338;13;1510;2150;Baja
Zonas Secundarias;Vegas;2022;may;279105449;132427720;146677729;11152155;13;1415;2150;Baja
Zonas Secundarias;Vegas;2022;jun;271755338;130321517;141433821;19260794;13;1392;2150;Baja
Zonas Secundarias;Vegas;2022;jul;250907002;122646350;128260652;-725115;12;1293;1990;Perdida
Zonas Secundarias;Vegas;2022;ago;330795699;136136514;194659185;56660075;12;1680;1990;Baja
Zonas Secundarias;Vegas;2022;sep;549282274;365595083;183687191;21201718;12;1618;1990;Baja
Zonas Secundarias;Vegas;2022;oct;316893491;125643595;191249896;61223433;12;1610;1990;Baja
Zonas Secundarias;Vegas;2022;nov;318372009;114673860;203698149;65089962;12;1698;1990;Baja
Zonas Secundarias;Vegas;2022;dic;359032545;140470564;218561981;59302741;12;1859;1990;Baja
Zonas Secundarias;Vegas;2023;ene;325506124;126911215;198594909;42359080;11;1621;1830;Baja
Zonas Secundarias;Vegas;2023;feb;310339533;122300907;188038626;43558899;11;1545;1830;Baja
Zonas Secundarias;Vegas;2023;mar;375001791;159468070;215533721;90730210;13;1798;2150;Media
Zonas Secundarias;Vegas;2023;abr;309344649;141834748;167509901;29934219;13;1418;2150;Baja
Zonas Secundarias;Vegas;2023;may;358826315;192321868;166504447;23942448;14;1586;2310;Baja
Zonas Secundarias;Vegas;2023;jun;322865793;165926750;156939043;-8155976;14;1358;2310;Perdida
Zonas Secundarias;Vegas;2023;jul;350313594;183354467;166959127;10948382;14;1462;2310;Baja
Zonas Secundarias;Vegas;2023;ago;331831357;169198821;162632536;49619615;13;1446;1990;Baja
Zonas Secundarias;Vegas;2023;sep;375765169;185710128;190055041;77511265;13;1532;1990;Baja
Zonas Secundarias;Vegas;2023;oct;351136743;191538821;159597922;-7250285;12;1352;1990;Perdida
Zonas Secundarias;Vegas;2023;nov;309386468;162201470;147184998;-14473063;12;1231;1990;Perdida
Zonas Secundarias;Vegas;2023;dic;390140447;174675983;215464464;68051747;11;1488;1690;Baja
Zonas Secundarias;Vegas;2024;ene;416256591;187634056;228622535;89203436;10;1575;1530;Baja
Zonas Secundarias;Vegas;2024;feb;386557378;187739185;198818193;46651233;14;1452;2010;Baja
Zonas Secundarias;Vegas;2024;mar;338355343;203781867;134573476;-6170392;14;1221;2010;Perdida
Zonas Secundarias;Vegas;2024;abr;369813601;200715606;169097995;20746823;14;1381;2010;Baja
Zonas Secundarias;Vegas;2024;may;444990547;208784469;236206078;67524470;14;1644;2010;Baja
Zonas Secundarias;Vegas;2024;jun;365246054;193441819;171804235;-15408305;15;1302;2170;Perdida
Zonas Secundarias;Vegas;2024;jul;416938106;204747740;212190366;45660587;14;1549;2010;Baja
Zonas Secundarias;Vegas;2024;ago;425253460;223591133;201662327;32750203;16;1549;2470;Baja
Zonas Secundarias;Vegas;2024;sep;415855712;218678447;197177265;39423082;16;1509;2330;Baja
Zonas Secundarias;Vegas;2024;oct;438961535;207478137;231483398;106195794;15;1620;2170;Media
